Field name,Type [1]_,Format,Description
**ram:SpecifiedGovernmentRegistration**,,,Driver's license / Driver's GLN / GLN of the participating company (the end of the block)
**CarrierTradeParty**,,, Carrier (the end of the block)
**StorageTradeParty**,M,,Intermediate warehouse (block start) 
**ram:ID**,M,, Identification code of the Intermediate warehouse (block start)
schemeAgencyID,M,string, USREOU of the enterprise that accepts cargo from the Carrier for temporary storage
value,M,decimal, Value
**ram:ID**,,, Identification code of the Intermediate warehouse (the end of the block)
ram:Name,M,string,Full name of the Intermediate warehouse (enterprise that accepts cargo from the Carrier for temporary storage)
ram:RoleCode,M,string, Participant role (Intermediate warehouse - WD). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,O,, Contacts of the responsible representative of the Intermediate warehouse (block start)
ram:PersonName,O,string, Full name
**ram:TelephoneUniversalCommunication**,O,, Main phone (block start)
ram:CompleteNumber,O,string, Contacts
**ram:TelephoneUniversalCommunication**,,, Main phone (the end of the block)
**ram:MobileTelephoneUniversalCommunication**,O,, Mobile phone (block start)
ram:CompleteNumber,O,string, Contacts
**ram:MobileTelephoneUniversalCommunication**,,, Mobile phone (the end of the block)
**ram:EmailURIUniversalCommunication**,O,, Email address (block start)
ram:CompleteNumber,O,string, Contacts
**ram:EmailURIUniversalCommunication**,,, Email address (the end of the block)
**ram:DefinedTradeContact**,,,Contacts of the responsible representative of the Intermediate warehouse (the end of the block)
**ram:PostalTradeAddress**,O,, Legal address of the Intermediate warehouse (legal address of a legal entity or address of registration of an individual entrepreneur) (block start)
ram:PostcodeCode,O,string, Index
ram:StreetName,M,string, Address (street name + building number)
ram:CityName,M,string, City (name of settlement)
ram:CountryID,M,string, Country (UA)
ram:CountrySubDivisionName,O,string, Region and district (if available)
**ram:PostalTradeAddress**,,, Legal address of the Intermediate warehouse (legal address of a legal entity or address of registration of a natural person-entrepreneur) (the end of the block)
**ram:SpecifiedTaxRegistration**,O,, Identification code of the responsible person (block start)
ram:ID,O,string, RNTAC of the responsible person
**ram:SpecifiedTaxRegistration**,,,Identification code of the responsible person (the end of the block)
**ram:SpecifiedGovernmentRegistration**,M,,GLN of the Intermediate warehouse (block start)
ram:ID,M/O,string,"GLN of the participating company (the field is mandatory for the transaction sender)"
ram:TypeCode,O,string,"Id type code:

* TRADEPARTY_GLN"
**ram:SpecifiedGovernmentRegistration**,,,GLN of the Intermediate warehouse (the end of the block)
**StorageTradeParty**,,, Intermediate warehouse (the end of the block)
**StorageLogisticsLocation**,M,, Warehouse location (block start)
**ram:ID**,M,, Identification code of the temporary storage facility (block start)
schemeAgencyID,M,string, CATUTTC code of the temporary storage facility
value,M,decimal, Value
**ram:ID**,,, Identification code of the temporary storage facility (the end of the block)
ram:Name,M,string, The name of the temporary storage facility
ram:Description,M,string, Description (address) of the temporary storage facility
**ram:PhysicalGeographicalCoordinate**,M,, Geographic coordinates (block start)
ram:LatitudeMeasure,O,string, Latitude
ram:LongitudeMeasure,O,string, Longitude
**ram:SystemID**,M,, GLN code (block start)
schemeAgencyID,M,string, GLN
value,M,decimal, Value
**ram:SystemID**,,, GLN code (the end of the block)
**ram:PhysicalGeographicalCoordinate**,,, Geographic coordinates (the end of the block)
**StorageLogisticsLocation**,,,Warehouse location (the end of the block)
**UtilizedLogisticsTransportEquipment**,M,, Unloading car (block start)
ram:ID,M,string,"Registration number of the car according to the technical passport

* Ukrainian numbers: must match one of the patterns for car number plates
* Euro numbers: without validation"
**ram:AffixedLogisticsSeal**,O,, Seal number (car) (block start)
ram:ID,O,string, An impression of the seal used to seal the car
**ram:AffixedLogisticsSeal**,,, Seal number (car) (the end of the block)
**ram:SettingTransportSettingTemperature**,O,,Operating instructions (block start)
**ram:MinimumValueMeasure**,O,,"The temperature regime necessary for cargo transportation. Temperature mode from (block start)"
unitCode,O,string, unit code (CEL)
value,O,decimal, Value
**ram:MinimumValueMeasure**,,,"The temperature regime necessary for cargo transportation. Temperature mode from (the end of the block)"
**ram:MaximumValueMeasure**,O,,"The temperature regime necessary for cargo transportation. Temperature mode to (block start)"
unitCode,O,string, unit code (CEL)
value,O,decimal, Value
**ram:MaximumValueMeasure**,,,"The temperature regime necessary for cargo transportation. Temperature mode to (the end of the block)"
**ram:SettingTransportSettingTemperature**,,,Operating instructions (the end of the block)
**ram:ApplicableNote** (з кодом BRAND),M,, Car brand (block start)
ram:ContentCode,M,string, Code BRAND
ram:Content,M,string, Car brand according to the technical passport
**ram:ApplicableNote** (з кодом BRAND),,,Car brand (the end of the block)
**ram:ApplicableNote** (з кодом MODEL),M,, Car model (block start)
ram:ContentCode,M,string, Code MODEL
ram:Content,M,string, Car model according to the technical passport
**ram:ApplicableNote** (з кодом MODEL),,, Car model (the end of the block)
**ram:ApplicableNote** (з кодом COLOR),O,, Car color (block start)
ram:ContentCode,O,string, COLOR code
ram:Content,O,string, The color of the car according to the technical passport
**ram:ApplicableNote** (з кодом COLOR),,, Car color (the end of the block)
**UtilizedLogisticsTransportEquipment**,,, Unloading car (the end of the block)
**UtilizedLogisticsTransportEquipment** (CategoryCode=TE),O,, Unloading trailer/semi-trailer (block start)
ram:CategoryCode,O,string, Type TE - Trailer/semi-trailer
ram:CharacteristicCode,O,string,"Identification code Trailer/semi-trailer:

* 14 - Trailer
* 17 - Semi-trailer"
**ram:AffixedLogisticsSeal**,O,, Seal number (trailer/semi-trailer) (block start)
ram:ID,O,string,The impression of the seal used to seal the trailer/semi-trailer
**ram:AffixedLogisticsSeal**,,, Seal number (trailer/semi-trailer) (the end of the block)
**ram:SettingTransportSettingTemperature**,O,,Operating instructions (block start)
**ram:MinimumValueMeasure**,O,,"The temperature regime necessary for cargo transportation. Temperature mode from (block start)"
unitCode,O,string, unit code (CEL)
value,O,decimal, Value
**ram:MinimumValueMeasure**,,,"The temperature regime necessary for cargo transportation. Temperature mode from (the end of the block)"
**ram:MaximumValueMeasure**,O,,"The temperature regime necessary for cargo transportation. Temperature mode to (block start)"
unitCode,O,string, unit code (CEL)
value,O,decimal, Value
**ram:MaximumValueMeasure**,,,"The temperature regime necessary for cargo transportation. Temperature mode to (the end of the block)"
**ram:SettingTransportSettingTemperature**,,,Operating instructions (the end of the block)
**ram:ApplicableNote** (з кодом BRAND),O,,Trailer/semi-trailer brand (block start)
ram:ContentCode,O,string, Code BRAND
ram:Content,O,string, Make of trailer/semi-trailer according to technical data sheet
**ram:ApplicableNote** (з кодом BRAND),,,Trailer/semi-trailer brand (the end of the block)
**ram:ApplicableNote** (з кодом MODEL),O,, Trailer/semi-trailer model (block start)
ram:ContentCode,O,string, Code MODEL
ram:Content,O,string, The model of the trailer/semi-trailer according to the data sheet
**ram:ApplicableNote** (з кодом MODEL),,, Trailer/semi-trailer model (the end of the block)
**ram:ApplicableNote** (з кодом COLOR),O,, Color of trailer/semi-trailer (block start)
ram:ContentCode,O,string, COLOR code
ram:Content,O,string, The color of the trailer/semi-trailer according to the data sheet
**ram:ApplicableNote** (з кодом COLOR),,, Color of trailer/semi-trailer (the end of the block)
ram:ID,O,string,Registration number of the trailer/semi-trailer according to the technical passport
**UtilizedLogisticsTransportEquipment** (CategoryCode=TE),,, Unloading trailer/semi-trailer (the end of the block)
**DeliveryTransportEvent**,O,, Unloading works (block start)
ram:ID,O,string, Sequence number of the event (events are always numbered in ascending order according to the N+1 principle)
ram:TypeCode,O,string,"Type of operation (unloading=5, loading=10)"
ram:Description,O,string, Description
**ram:ActualOccurrenceDateTime**,O,, Date and time of arrival of the car for unloading (block start)
udt:DateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00), Date and time
**ram:ActualOccurrenceDateTime**,,, Date and time of arrival of the car for unloading (the end of the block)
**ram:ScheduledOccurrenceDateTime**,O,, Date and time of vehicle release from unloading (block start)
udt:DateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00), Date and time
**ram:ScheduledOccurrenceDateTime**,,,Date and time of vehicle release from unloading (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=DR),M,, Information about the Driver of the Carrier who release the cargo (block start)
**ram:ID**,O,, Identification code - RNTAC of the Driver (block start)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,, Identification code - RNTAC of the Driver (the end of the block)
ram:Name,M,string, The position of the Driver who release the cargo
ram:RoleCode,M,string, Participant role (Driver - DR). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (block start)
ram:PersonName,O,string, Name of the Driver who delivered the cargo
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=DR),,, Information about the Driver of the Carrier who release the cargo (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=CA),O,, Information about responsible persons of the Carrier (block start)
**ram:ID**,O,,Identification code - RNTAC of the responsible person of the Carrier (block start)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,, Identification code - RNTAC of the responsible person of the Carrier (the end of the block)
ram:Name,M,string, Position of responsible person of the Carrier
ram:RoleCode,M,string, Participant role (Carrier - CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (block start)
ram:PersonName,M,string, Full name of the responsible person of the Carrier
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=CA),,, Information about responsible persons of the Carrier (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=WD),O,, Information about the responsible persons of the Intermediate warehouse (block start)
**ram:ID**,O,, Identification code - RNTAC of the responsible person of the Intermediate warehouse (block start)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,, Identification code - RNTAC of the responsible person of the Intermediate warehouse (the end of the block)
ram:Name,M,string,The position of the responsible person of the Intermediate warehouse
ram:RoleCode,M,string, Participant role (Intermediate warehouse - WD). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (block start)
ram:PersonName,M,string, Name of the responsible person of the Intermediate warehouse
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=WD),,, Information about responsible persons of the Intermediate warehouse (the end of the block)
**ram:ApplicableNote** (з кодом GROSSWEIGHT),O,,"Gross weight, kg (block start)"
ram:ContentCode,O,string, Code GROSSWEIGHT
ram:Content,O,decimal, The gross mass of the cargo received at the place of unloading in kilograms
**ram:ApplicableNote** (з кодом GROSSWEIGHT),,,"Gross mass, kg (the end of the block)"
**ram:ApplicableNote** (з кодом DOWNTIME),O,, Idle time (block start)
ram:ContentCode,O,string, Code DOWNTIME
ram:Content,O,unsignedByte, Idle time (hours) under unloading
**ram:ApplicableNote** (з кодом DOWNTIME),,, Idle time (the end of the block)
**DeliveryTransportEvent**,,, Unloading works (the end of the block)
CarrierNotes,M,string, Brief or full description of the reasons for drafting the act (Carrier)
StorageNotes,O,string,Special notes / Information regarding disagreement with the content of the Act (Intermediate warehouse)
**StorageDeliveryActPayload**,,, Information about the Act (the end of the block)
**CertifyingPartyPayload**,M,, Information about responsible persons (block start)
**ram:CertifyingTradeParty** (RoleCode=DR),M,, Information about the Driver of the Carrier who release the cargo (block start)
**ram:ID**,O,, Identification code - RNTAC of the Driver (block start)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,, Identification code - RNTAC of the Driver (the end of the block)
ram:Name,M,string, Driver position
ram:RoleCode,M,string, Participant role (Driver - DR). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (block start)
ram:PersonName,M,string, Driver's name
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:SpecifiedGovernmentRegistration**,M,, Driver's license (block start)
ram:ID,M,string,"Driver's license series and number Driver. Filled in the format ""3 capital Cyrillic letters + 6 numbers without spaces"", for example: ``DGJ123456'', ``АБВ123456''"
**ram:SpecifiedGovernmentRegistration**,,, Driver's license (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=DR),,, Information about the Driver of the Carrier who release the cargo (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=CA),M,, Information about responsible persons of the Carrier (block start)
**ram:ID**,O,, Identification code - RNTAC of the Driver (block start)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,, Identification code - RNTAC of the Driver (the end of the block)
ram:Name,M,string, Driver position
ram:RoleCode,M,string, Participant role (Carrier - CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (block start)
ram:PersonName,M,string,Driver full name
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=CA),,, Information about responsible persons of the Carrier (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=WD),M,, Information about the responsible persons of the Intermediate warehouse (block start)
**ram:ID**,O,, Identification code - RNTAC of the responsible person of the Intermediate warehouse (block start)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,, Identification code - RNTAC of the responsible person of the Intermediate warehouse (the end of the block)
ram:Name,M,string,The position of the responsible person of the Intermediate warehouse
ram:RoleCode,M,string, Participant role (Intermediate warehouse - WD). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (block start)
ram:PersonName,M,string,Full name of the responsible person of the Intermediate warehouse
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=WD),,, Information about responsible persons of the Intermediate warehouse (the end of the block)
**CertifyingPartyPayload**,,, Information about responsible persons (the end of the block)
**ACT**,,, (end of document content)
**UaSignatureStorage**,M,, Signatures (block start)
**VisualReferencedDocument**,O,, Graphic display of the document (block start)
ram:TypeCode,O,string,Type (916 - Act). `Document code directory <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__
ram:Remarks,O,string, Graphic representation of Act in base64
**VisualReferencedDocument**,,, Graphic display of the document (the end of the block)
**Signature** (SigningPartyRoleCode=DR),M,, QES of the Driver delivering the load (block start)
SigningPartyRoleCode,M,string, Signatory role (Driver - DR). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,M,string, Signature (base64 signature p7s)
Name,M,string, Name of the signatory (Driver)
Position,O,string, Signatory position (Driver)
**ram:SpecifiedTaxRegistration**,M,, Driver identification code (block start)
ram:ID,M,string, RNTAC of the signatory (Driver)
**ram:SpecifiedTaxRegistration**,,, Driver identification code (the end of the block)
**Signature** (SigningPartyRoleCode=DR),,, QES of the Driver delivering the load (the end of the block)
**Signature** (SigningPartyRoleCode=CA),O,,QES of the Carrier delivering the cargo (block start)
SigningPartyRoleCode,O,string, Signatory role (Carrier - CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,O,string, Signature (base64 signature p7s)
Name,O,string, Name of signatory (Carrier)
Position,O,string, Position of signatory (Carrier)
**ram:SpecifiedTaxRegistration**,O,, Identification code of the Carrier (block start)
ram:ID,O,string, RNTAC of the signatory (Carrier)
**ram:SpecifiedTaxRegistration**,,, Identification code of the Carrier (the end of the block)
**Signature** (SigningPartyRoleCode=CA),,, QES of the Carrier delivering the cargo (the end of the block)
**Signature** (SigningPartyRoleCode=WD),M,, QES of the responsible person of the Intermediate warehouse receiving the cargo (block start)
SigningPartyRoleCode,M,string, Signatory role (Intermediate warehouse - WD). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,M,string, Signature (base64 signature p7s)
Name,M,string, Name of the signatory (responsible person of the Intermediate warehouse)
Position,O,string,Position of the signatory (responsible person of the Intermediate warehouse)
**ram:SpecifiedTaxRegistration**,M,, Identification code of the responsible person of the Intermediate warehouse (block start)
ram:ID,M,string, RNTAC of the signatory (responsible person of the Intermediate Warehouse)
**ram:SpecifiedTaxRegistration**,,, Identification code of the responsible person of the Intermediate warehouse (the end of the block)
**Signature** (SigningPartyRoleCode=WD),,, QES of the responsible person of the Intermediate warehouse receiving the cargo (the end of the block)
**UaSignatureStorage**,,, Signatures (the end of the block)
**UAECMR_ACT**,,, (end of document)
