Field name,Type [1]_,Format,Description
ram:RoleCode,M,string, Participant role (Carrier - CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:SpecifiedGovernmentRegistration**,M,,Driver's license / Driver's GLN / GLN of the participating company (block start)
ram:ID,M,string,"* Driver's license series and number. Filled in the format «3 capital Cyrillic letters + 6 numbers without spaces», for example: ``DGJ123456``, ``АБВ123456``
* for ram:TypeCode=DRIVER_GLN - Driver's GLN
* for ram:TypeCode=TRADEPARTY_GLN - GLN of the participating company"
ram:TypeCode,O,string,"Id type code:

* DRIVER_GLN
* TRADEPARTY_GLN"
**ram:SpecifiedGovernmentRegistration**,,,Driver's license / Driver's GLN / GLN of the participating company (the end of the block)
**CarrierTradeParty**,,, Carrier (the end of the block)
InitiatorNotes,M,string, Brief or full description of the reasons for drafting the act (Customer)
CarrierNotes,O,string,Special notes / Information regarding disagreement with the contents of the Act (Carrier)
**StopActPayload**,,, Information about the Act (the end of the block)
**CertifyingPartyPayload**,M,, Information about responsible persons (block start)
**ram:CertifyingTradeParty** (RoleCode=ОВ),M,, Information about the responsible persons of the Customer (block start)
**ram:ID**,O,, Identification code - RNTAC of the Customer (block start)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,, Identification code - RNTAC of the driver (the end of the block)
ram:Name,M,string, Position of the Customer
ram:RoleCode,M,string, Participant role (Customer - OB). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (block start)
ram:PersonName,M,string, Name of the Customer
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=ОВ),,, Information about the responsible persons of the Customer (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=CA),M,,Information about responsible persons of the Carrier (block start)
**ram:ID**,O,, Identification code - RNTAC of the driver (block start)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,, Identification code - RNTAC of the driver (the end of the block)
ram:Name,M,string, Driver position
ram:RoleCode,M,string, Participant role (Carrier - CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (block start)
ram:PersonName,M,string,Driver full name
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=CA),,, Information on responsible persons of the Carrier (the end of the block)
**CertifyingPartyPayload**,,, Information about responsible persons (the end of the block)
**ACT**,,, (end of document content)
**UaSignatureStorage**,M,, Signatures (block start)
**VisualReferencedDocument**,O,, Graphic display of the document (block start)
ram:TypeCode,O,string, Type (916 - Act). `Document code directory <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__
ram:Remarks,O,string, Graphic representation of Act in base64
**VisualReferencedDocument**,,, Graphic display of the document (the end of the block)
**Signature** (SigningPartyRoleCode=OB),M,, QES of the Customer (block start)
SigningPartyRoleCode,M,string,Signatory role (Customer - OB). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,M,string, Signature (base64 signature p7s)
Name,M,string, Name of the signatory (Customer)
Position,O,string, Position of signatory (Customer)
**ram:SpecifiedTaxRegistration**,M,, Customer identification code (block start)
ram:ID,M,string, RNTAC of the signatory (Customer)
**ram:SpecifiedTaxRegistration**,,, Identification code of the Customer (the end of the block)
**Signature** (SigningPartyRoleCode=OB),,, QES of the Customer (the end of the block)
**Signature** (SigningPartyRoleCode=CA),M,, Carrier's QES (block start)
SigningPartyRoleCode,M,string, Signatory role (Carrier - CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,M,string, Signature (base64 signature p7s)
Name,M,string, Name of signatory (Carrier)
Position,O,string, Position of signatory (Carrier)
**ram:SpecifiedTaxRegistration**,M,, Identification code of the Carrier (block start)
ram:ID,M,string, RNTAC of the signatory (Carrier)
**ram:SpecifiedTaxRegistration**,,, Identification code of the Carrier (the end of the block)
**Signature** (SigningPartyRoleCode=CA),,, Carrier's QES (the end of the block)
**UaSignatureStorage**,,, Signatures (the end of the block)
**UAECMR_ACT**,,,(end of document)
