Field name,Type [1]_,Format,Description
LATESTDELIVERYDATE,O,Date (YYYY-MM-DD),Latest delivery date
**HEAD**, , , Start of the main block
SUPPLIER,M,Number (13),Supplier GLN
BUYER,M,Number (13),Buyer GLN
BUYERCODE,O,String (35),Buyer code
DELIVERYPLACE,M,Number (13),Delivery locations GLN
FINALRECIPIENT,O,Number (13),Final consignee GLN
ORDERPARTNER,O,Number (13),Customer GLN
INVOICEPARTNER,O,Number (13),Payer GLN
SENDER,M,Number (13),Message sender GLN
RECIPIENT,M,Number (13),Message recipient GLN
CONSIGNEE,О,Number (13),Consignee GLN
RECIPIENTCODE,O,String (35),Recipient Code
RECIPIENTNAME,O,String (70),Recipient's name
INFO,O,String (70),Free text
DISCOUNTVALUE,O,Positive number,Discount amount
RECIPIENTCONTACTFACE,O,String (70),Contact person
RECIPIENTPHONE,O,String (35),Recipient's phone
RECIPIENTCITY,O,String (35),Recipient city
RECIPIENTADRESS,O,String (70),Recipient's address
EDIINTERCHANGEID,O,String (70),"Transaction number (Unique number generated by the sender)"
**POSITION**, , ,Commodity items (the beginning of the block)
POSITIONNUMBER,М,Positive number,"Commodity item number (The sequence number of the item in the document (1, 2, 3, 4... n))"
PRODUCT,M,"Number (8, 10, 14)",Product barcode
PRODUCTIDSUPPLIER,O,String (16),Products in database
PRODUCTIDBUYER,O,String (16),Item in customer database
BUYERPARTNUMBER,О,String (16),Internal system number of the article in buyer database
ORDEREDQUANTITY,M,Positive number,Ordered quantity
QUANTITYOFCUINTU,О,Positive number,Amount in a package
ORDERUNIT,О,String (3),Units [2]_
QUANTITYOFPACKS,О,Positive number,Number of packages
ORDERPRICE,O,Decimal,Product price without VAT
PRICEWITHVAT,O,Decimal,Product price with VAT
AMOUNT,O,Decimal,Sum of goods (without VAT)
AMOUNTWITHVAT,О,Decimal,Sum of goods (with VAT)
VAT,O,Decimal,"VAT rate, %"
CLAIMEDDELIVERYDATE,O,Date (YYYY-MM-DD),Announced Delivery Date
CLAIMEDDELIVERYTIME,O,Time (hh:mm),Announced Delivery Time
DELIVERYPLACE,О,Number (13),Final delivery location GLN
INFOCODED,O,String (35),Info code
MINIMUMORDERQUANTITY,O,Positive number,Minimum ordered quantity
MAXIMUMORDERQUANTITY,O,Positive number,Maximum allowable shipping quantity
PRODUCTIONCODE,О,String (16),Alcohol Code
POSITIONKGM,М, ,Total kilogram of position
INFO,O,String (90),Free text
COMPAIGNNUMBER,O,String (70),Supplier number
EARLIESTDELIVERYDATE,O,Date (YYYY-MM-DD),Delivery not earlier than the specified date
LATESTDELIVERYDATE,O,Date (YYYY-MM-DD),Delivery no later than the specified date
LATESTDELIVERYTIME,O,Time (hh:mm),Delivery no later than the specified time
CONDITIONSTATUS,О,String (3),Condition Status
PACKAGEID,O,Positive number,Package ID
CATEGORYNAME,O,String (70),Item category name
BRENDNAME,O,String (70),Brand name
GROUPNAME, , ,Name of product group
NOVELTY,O, ,New
COUNTPIECESINBOX,O,Positive number,The number of pieces in the package
COUNTBOXESINLAYER,O,Positive number,Number of packages per level
COUNTPERPALLET,O,Positive number,Quantity on a pallet
WEIGHT,O,Decimal,Weight
PALLETS,O,Positive number,Number of pallets
COUNTRYORIGIN,О,String (2),Manufacturer country
CALIBRE,O,Positive number,Packing caliber (Diameter)
PRICEWITHDISCOUNT,O,Decimal,Price with discount
BOXESCOUNT,O,Positive number,Number of packages
**CHARACTERISTIC**, , ,Characteristics (the beginning of the block)
DESCRIPTION,О,String (70),Product Description
**CHARACTERISTIC**, , ,Characteristics (the end of the block)
**PACKING**, , ,Packaging (the beginning of the block)
PACKINGTYPE,O,String (3),Type of packaging
PACKINGQUANTITY,O,Positive number,Number of packages
PACKINGUNIT,O,Positive number,Packer
**PACKING**, , ,Packaging (the end of the block)
**POSITION**, , ,Commodity items (the end of the block)
**HEAD**, , ,End of the main block
**ORDER**, , ,End of the document
