Field name,Type [1]_,Format,Description
**ram:ID**,,,"Identification code of the Consignee (the USREOU of a legal entity or the RNTAC of an individual entrepreneur), which receives (posting) the goods and material values listed in the TTN (the end of the block)"
ram:Name,M,string, Full name of the Consignee (a legal entity or the full name of an individual entrepreneur) who is receiving (posting) the goods and material values listed in the TTN
ram:RoleCode,M,string, Participant role (Consignee - CN). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,O,, Contacts of the responsible representative (block start)
ram:PersonName,O,string,Full name
**ram:TelephoneUniversalCommunication**,O,, Main phone (block start)
ram:CompleteNumber,O,string, Contacts
**ram:TelephoneUniversalCommunication**,,, Main phone (the end of the block)
**ram:MobileTelephoneUniversalCommunication**,O,, Mobile phone (block start)
ram:CompleteNumber,O,string, Contacts
**ram:MobileTelephoneUniversalCommunication**,,, Mobile phone (the end of the block)
**ram:EmailURIUniversalCommunication**,O,, Email address (block start)
ram:CompleteNumber,O,string, Contacts
**ram:EmailURIUniversalCommunication**,,,Email address (the end of the block)
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:PostalTradeAddress**,M,,Legal address of the Consignee (legal address of a legal entity or address of registration of an individual entrepreneur) (block start)
ram:PostcodeCode,O,string,Index
ram:StreetName,M,string, Address (street name + building number)
ram:CityName,M,string, City (name of settlement)
ram:CountryID,M,string, Country (UA)
ram:CountrySubDivisionName,O,string, Region and district (if available)
**ram:PostalTradeAddress**,,, Legal address of the Consignee (legal address of a legal entity or address of registration of an individual entrepreneur) (the end of the block)
**ram:SpecifiedTaxRegistration**,O,, Identification code of the responsible person (block start)
ram:ID,O,string,RNTAC of the responsible person
**ram:SpecifiedTaxRegistration**,,, Identification code of the responsible person (the end of the block)
**ram:ConsigneeTradeParty**,,,Consignee (the end of the block)
**ram:CarrierTradeParty**,M,, Carrier (block start)
**ram:ID**,M,,"Identification code of the Carrier. USREOU of a business entity (a legal entity or a natural person - an entrepreneur) or RNTAC of a natural person, with which the consignor concluded a contract for the provision of transport services (block start)"
schemeAgencyID,M,string, USREOU / RNTAC
value,M,decimal,Value
**ram:ID**,,,"Identification code of the Carrier. USREOU of a business entity (a legal entity or a natural person - an entrepreneur) or RNTAC of a natural person, with which the consignor concluded an agreement for the provision of transport services (the end of the block)"
ram:Name,M,string,"Full name of the Carrier (a legal entity or a natural person - an entrepreneur) or the surname, first name, patronymic of the natural person with whom the consignor concluded an agreement for the provision of transport services"
ram:RoleCode,M,string, Participant role (Carrier - CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (block start)
ram:PersonName,M,string,Name of the driver who will drive the vehicle during cargo transportation
**ram:TelephoneUniversalCommunication**,O,, Main phone (block start)
ram:CompleteNumber,O,string, Contacts
**ram:TelephoneUniversalCommunication**,,, Main phone (the end of the block)
**ram:MobileTelephoneUniversalCommunication**,O,, Mobile phone (block start)
ram:CompleteNumber,O,string, Contacts
**ram:MobileTelephoneUniversalCommunication**,,, Mobile phone (the end of the block)
**ram:EmailURIUniversalCommunication**,O,, Email address (block start)
ram:CompleteNumber,O,string, Contacts
**ram:EmailURIUniversalCommunication**,,,Email address (the end of the block)
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:PostalTradeAddress**,M,, Legal address of the Carrier (legal address of the business entity (legal entity or natural person - entrepreneur) or the address of registration of the natural person with whom the consignor concluded an agreement for the provision of transport services) (block start)
ram:PostcodeCode,O,string,Index
ram:StreetName,M,string, Address (street name + building number)
ram:CityName,M,string, City (name of settlement)
ram:CountryID,M,string, Country (UA)
ram:CountrySubDivisionName,O,string, Region and district (if available)
**ram:PostalTradeAddress**,,, Legal address of the Carrier (legal address of the business entity (legal entity or natural person - entrepreneur) or the address of registration of the natural person with whom the consignor concluded an agreement for the provision of transport services) (the end of the block)
**ram:SpecifiedTaxRegistration**,M,, Identification code of the responsible person (block start)
ram:ID,M,string,RNTAC of the responsible person (driver)
**ram:SpecifiedTaxRegistration**,,, Identification code of the responsible person (the end of the block)
**ram:SpecifiedGovernmentRegistration**,M,, Driver's license (block start)
ram:ID,M,string,"Driver's license series and number. Filled in the format «3 capital Cyrillic letters + 6 numbers without spaces», for example: ``DGJ123456``, ``АБВ123456``"
**ram:SpecifiedGovernmentRegistration**,,, Driver's license (the end of the block)
**ram:CarrierTradeParty**,,, Carrier (the end of the block)
**ram:NotifiedTradeParty** (role - FW),O,, Forwarder (block start)
**ram:ID**,M,,"Identification code of the Forwarder. USREOU of a business entity (a legal entity or a natural person - an entrepreneur) or RNTAC of a natural person, with which the consignor (customer) concluded a transport forwarding contract (block start)"
schemeAgencyID,M,string, USREOU / RNTAC
value,M,decimal,Value
**ram:ID**,,,"Identification code of the Forwarder. USREOU of a business entity (a legal entity or a natural person - an entrepreneur) or RNTAC of a natural person, with which the consignor (customer) concluded a transport forwarding contract (the end of the block)"
ram:Name,M,string,"Full name of the Forwarder (legal entity or natural person - entrepreneur) or surname, first name, patronymic of the natural person with whom the consignor (customer) concluded a transport forwarding contract"
ram:RoleCode,M,string,Participant role (Forwarder - FW). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,O,, Contacts of the responsible representative (block start)
ram:PersonName,O,string,Full name
**ram:TelephoneUniversalCommunication**,O,, Main phone (block start)
ram:CompleteNumber,O,string, Contacts
**ram:TelephoneUniversalCommunication**,,, Main phone (the end of the block)
**ram:MobileTelephoneUniversalCommunication**,O,, Mobile phone (block start)
ram:CompleteNumber,O,string, Contacts
**ram:MobileTelephoneUniversalCommunication**,,, Mobile phone (the end of the block)
**ram:EmailURIUniversalCommunication**,O,, Email address (block start)
ram:CompleteNumber,O,string, Contacts
**ram:EmailURIUniversalCommunication**,,,Email address (the end of the block)
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:PostalTradeAddress**,O,, Legal address of the Forwarder (a legal entity or a natural person - an entrepreneur) or the address of registration of a natural person with whom the consignor (customer) concluded a transport forwarding contract (block start)
ram:PostcodeCode,O,string,Index
ram:StreetName,M,string, Address (street name + building number)
ram:CityName,M,string, City (name of settlement)
ram:CountryID,M,string, Country (UA)
ram:CountrySubDivisionName,O,string, Region and district (if available)
**ram:PostalTradeAddress**,,, Legal address of the Forwarder (a legal entity or a natural person - an entrepreneur) or the address of registration of a natural person with whom the shipper (customer) concluded a transport forwarding contract (the end of the block)
**ram:SpecifiedTaxRegistration**,O,, Identification code of the responsible person (block start)
ram:ID,O,string,RNTAC of the responsible person
**ram:SpecifiedTaxRegistration**,,, Identification code of the responsible person (the end of the block)
**ram:NotifiedTradeParty** (role - FW),,, Forwarder (the end of the block)
**ram:NotifiedTradeParty** (role - OB),M,,Customer (block start)
**ram:ID**,M,, Identification code of the Customer. USREOU of a business entity (a legal entity or a natural person - an entrepreneur) or RNTAC of a natural person that pays for transport work and services (block start)
schemeAgencyID,M,string, USREOU / RNTAC
value,M,decimal,Value
**ram:ID**,,, Identification code of the Customer. USREOU of a business entity (a legal entity or a natural person - an entrepreneur) or RNTAC of a natural person that pays for transport work and services (the end of the block)
ram:Name,M,string,"Full name of the Customer (a legal entity or a natural person - an entrepreneur) or the surname, first name, patronymic of the natural person paying for transport work and services"
ram:RoleCode,M,string,Participant role (Customer - OB). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:PostalTradeAddress**,M,, Legal address of the Customer (a legal entity or a natural person - an entrepreneur) or the address of registration of a natural person paying for transport work and services (block start)
ram:PostcodeCode,O,string,Index
ram:StreetName,M,string, Address (street name + building number)
ram:CityName,M,string, City (name of settlement)
ram:CountryID,M,string, Country (UA)
ram:CountrySubDivisionName,O,string, Region and district (if available)
**ram:PostalTradeAddress**,,,Legal address of the Customer (a legal entity or a natural person - an entrepreneur) or the address of registration of a natural person paying for transport work and services (the end of the block)
**ram:DefinedTradeContact**,O,, Contacts of the responsible representative (block start)
ram:PersonName,O,string,Full name
**ram:TelephoneUniversalCommunication**,O,, Main phone (block start)
ram:CompleteNumber,O,string, Contacts
**ram:TelephoneUniversalCommunication**,,, Main phone (the end of the block)
**ram:MobileTelephoneUniversalCommunication**,O,, Mobile phone (block start)
ram:CompleteNumber,O,string, Contacts
**ram:MobileTelephoneUniversalCommunication**,,, Mobile phone (the end of the block)
**ram:EmailURIUniversalCommunication**,O,, Email address (block start)
ram:CompleteNumber,O,string, Contacts
**ram:EmailURIUniversalCommunication**,,,Email address (the end of the block)
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:SpecifiedTaxRegistration**,O,, Identification code of the responsible person (block start)
ram:ID,O,string,RNTAC of the responsible person
**ram:SpecifiedTaxRegistration**,,, Identification code of the responsible person (the end of the block)
**ram:NotifiedTradeParty** (role - OB),,, Customer (the end of the block)
**ram:NotifiedTradeParty** (role - WD),O,,"Intermediate warehouse. More detailed information about intermediate overloads, if any, is provided by the Carrier in the block **Routing** (block start)"
**ram:ID**,M,, Identification code of the Intermediate warehouse. USREOU of the enterprise (Consignor/Carrier/Forwarder/Consignee/Warehouse) accepting cargo from the Carrier for temporary storage (block start)
schemeAgencyID,M,string, USREOU / RNTAC
value,M,decimal,Value
**ram:ID**,,,Identification code of the Intermediate warehouse. USREOU of the enterprise (Consignor/Carrier/Forwarder/Consignee/Warehouse) accepting cargo from the Carrier for temporary storage (the end of the block)
ram:Name,M,string, Full name of the Intermediate warehouse (Consignor/Carrier/Forwarder/Consignee/Warehouse) that receives cargo from the Carrier for temporary storage
ram:RoleCode,M,string,Participant role (Intermediate composition - WD). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:PostalTradeAddress**,O,,Legal address of the Intermediate warehouse (Consignor/Carrier/Forwarder/Consignee/Warehouse) that accepts cargo from the Carrier for temporary storage (block start)
ram:PostcodeCode,O,string,Index
ram:StreetName,M,string, Address (street name + building number)
ram:CityName,M,string, City (name of settlement)
ram:CountryID,M,string, Country (UA)
ram:CountrySubDivisionName,O,string, Region and district (if available)
**ram:PostalTradeAddress**,,, Legal address of the Intermediate warehouse (Consignor/Carrier/Forwarder/Consignee/Warehouse) that receives cargo from the Carrier for temporary storage (the end of the block)
**ram:DefinedTradeContact**,O,, Contacts of the responsible representative (block start)
ram:PersonName,O,string,Full name
**ram:TelephoneUniversalCommunication**,O,, Main phone (block start)
ram:CompleteNumber,O,string, Contacts
**ram:TelephoneUniversalCommunication**,,, Main phone (the end of the block)
**ram:MobileTelephoneUniversalCommunication**,O,, Mobile phone (block start)
ram:CompleteNumber,O,string, Contacts
**ram:MobileTelephoneUniversalCommunication**,,, Mobile phone (the end of the block)
**ram:EmailURIUniversalCommunication**,O,, Email address (block start)
ram:CompleteNumber,O,string, Contacts
**ram:EmailURIUniversalCommunication**,,,Email address (the end of the block)
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:SpecifiedTaxRegistration**,O,, Identification code of the responsible person (block start)
ram:ID,O,string,RNTAC of the responsible person
**ram:SpecifiedTaxRegistration**,,, Identification code of the responsible person (the end of the block)
**ram:NotifiedTradeParty** (role - WD),,,"Intermediate warehouse. More detailed information about intermediate overloads, if any, is provided by the Carrier in the block **Routing** (the end of the block)"
**ram:NotifiedTradeParty** (role - COP),O,,A company that provides security services (block start)
**ram:ID**,M,, Security company identification code. USREOU of an enterprise that provides cargo security services during transportation (block start)
schemeAgencyID,M,string, USREOU / RNTAC
value,M,decimal,Value
**ram:ID**,,, Security company identification code. USREOU of an enterprise that provides security services for cargo during transportation (the end of the block)
ram:Name,M,string, Full name of the security company that provides security services for cargo during transportation
ram:RoleCode,M,string,Participant role (Security company - COP). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,O,, Contacts of the responsible representative (block start)
ram:PersonName,O,string,Full name of the representative of the Customer who is authorized to accompany the cargo subject to special protection
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:NotifiedTradeParty** (role - COP),,,A company that provides security services (the end of the block)
**ram:CarrierAcceptanceLogisticsLocation**,M,, Load point (block start)
**ram:ID**,M,, CATUTTC code of the load point in accordance with the Codifier of administrative-territorial units and territories of territorial communities (block start)
schemeAgencyID,M,string,CATUTTC
value,M,decimal,Value
**ram:ID**,,, CATUTTC code of the loading point in accordance with the Codifier of administrative-territorial units and territories of territorial communities (the end of the block)
ram:Name,M,string, The name of the load point
ram:TypeCode,M,string,Type of operation: 5 - load; 10 - unload
ram:Description,M,string, Description (address) of the loading point
**ram:PhysicalGeographicalCoordinate**,M,, Geographic coordinates (block start)
ram:LatitudeMeasure,O,string,Latitude
ram:LongitudeMeasure,O,string,Longitude
**ram:SystemID**,M,, GLN code (block start)
schemeAgencyID,M,string,GLN
value,M,decimal,Value
**ram:SystemID**,,, GLN code (the end of the block)
**ram:PhysicalGeographicalCoordinate**,,, Geographic coordinates (the end of the block)
**ram:CarrierAcceptanceLogisticsLocation**,,, Load point (the end of the block)
**ram:ConsigneeReceiptLogisticsLocation**,M,,Unloading point (block start)
**ram:ID**,M,, CATUTTC code of the unloading point in accordance with the Codifier of administrative-territorial units and territories of territorial communities (block start)
schemeAgencyID,M,string,CATUTTC
value,M,decimal,Value
**ram:ID**,,,CATUTTC code of the unloading point in accordance with the Codifier of administrative-territorial units and territories of territorial communities (the end of the block)
ram:Name,M,string, Name of the unloading point
ram:TypeCode,M,string,Type of operation: 5 - load; 10 - unload
ram:Description,M,string, Description (address) of the unloading point
**ram:PhysicalGeographicalCoordinate**,M,, Geographic coordinates (block start)
ram:LatitudeMeasure,O,string,Latitude
ram:LongitudeMeasure,O,string,Longitude
**ram:SystemID**,M,, GLN code (block start)
schemeAgencyID,M,string,GLN
value,M,decimal,Value
**ram:SystemID**,,, GLN code (the end of the block)
**ram:PhysicalGeographicalCoordinate**,,, Geographic coordinates (the end of the block)
**ram:ConsigneeReceiptLogisticsLocation**,,, Unloading point (the end of the block)
**ram:AssociatedReferencedDocument** (TypeCode=723),O,, Accompanying documents for cargo. Document confirming security services (block start)
ram:TypeCode,M,string,Type 723 - is used when specifying a document confirming the provision of special security services (`reference of MIU document codes <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit#gid=723047960>`__ + `reference of internal codes EDIN documents <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/ETTN/TTN_doc_codes.html>`__)
ram:ID,M,string, Number of the document according to which the representative of the Customer is authorized to accompany the cargo subject to special protection
ram:Remarks,O,string, The UUID of the accompanying document
**ram:FormattedIssueDateTime**,O,,Date and time of drafting the document (block start)
qdt:DateTimeString,O,:abbr:`datetime ((yyyy-mm-ddThh:mm:ss+zz:zz) like 2021-12-13T14:19:23+02:00 ( https://www.w3.org/TR/xmlschema-2/#dateTime))`, Date and time of drafting the accompanying document
**ram:FormattedIssueDateTime**,,,Date and time of drafting the document (the end of the block)
**ram:AssociatedReferencedDocument** (TypeCode=723),,, Accompanying documents for cargo. Document confirming security services (the end of the block)
**ram:AssociatedReferencedDocument** (TypeCode=290),O,, Accompanying documents for cargo. Record of transfer of the right to present a claim (block start)
ram:TypeCode,M,string,Type 290 - is used when specifying the transfer of the right to present a claim (`reference of MIU document codes <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit#gid=723047960>`__ + `reference of internal EDIN document codes EDIN <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/ETTN/TTN_doc_codes.html>`__)
ram:Remarks,O,string, The UUID of the accompanying document
**ram:FormattedIssueDateTime**,O,,Date and time of drafting the document (block start)
qdt:DateTimeString,O,:abbr:`datetime ((yyyy-mm-ddThh:mm:ss+zz:zz) like 2021-12-13T14:19:23+02:00 ( https://www.w3.org/TR/xmlschema-2/#dateTime))`, Date and time of drafting the accompanying document
**ram:FormattedIssueDateTime**,,,Date and time of drafting the document (the end of the block)
**ram:AssociatedReferencedDocument** (TypeCode=290),,,Accompanying documents for cargo. Record of the transfer of the right to present a claim (the end of the block)
**ram:AssociatedReferencedDocument** (TypeCode=916),O,, Accompanying documents for cargo. Corrective acts (block start)
ram:TypeCode,M,string,"Type 916 - is used when forming acts, to indicate the previous transaction of the current act (`reference of MIU document codes <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit#gid=723047960>`__ + `reference of internal codes EDIN documents <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/ETTN/TTN_doc_codes.html>`__)"
ram:ID,M,string, Act number
ram:Remarks,O,string, The UUID of the accompanying document
**ram:FormattedIssueDateTime**,O,,Date and time of drafting the document (block start)
qdt:DateTimeString,O,:abbr:`datetime ((yyyy-mm-ddThh:mm:ss+zz:zz) like 2021-12-13T14:19:23+02:00 ( https://www.w3.org/TR/xmlschema-2/#dateTime))`, Date and time of drafting the accompanying document
**ram:FormattedIssueDateTime**,,,Date and time of drafting the document (the end of the block)
**ram:AssociatedReferencedDocument** (TypeCode=916),,, Accompanying documents for cargo. Corrective acts (the end of the block)
**ram:AssociatedReferencedDocument**,O,, Other accompanying documents (block start)
ram:TypeCode,O,string,"Type

* code 730 is used to indicate previous transactions of the e-TTN type
* code 730 is also used when creating acts to indicate the e-TTN for which the act is created
* code 916 is used when forming acts to indicate the previous transaction of the current act
* code 723 when specifying a document confirming the provision of special security services
* code 290 when specifying the transfer of the right to submit a claim
* code 119 in operations with the act of loading at an intermediate warehouse, to indicate the previous act of unloading at the same warehouse

(`reference of MIU document codes <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit#gid=723047960>`__ + `reference of internal codes EDIN documents <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/ETTN/TTN_doc_codes.html>`__)"
ram:ID,O,string,Document number
ram:Remarks,O,string, The UUID of the accompanying document
**ram:FormattedIssueDateTime**,O,,Date and time of drafting the document (block start)
qdt:DateTimeString,O,:abbr:`datetime ((yyyy-mm-ddThh:mm:ss+zz:zz) like 2021-12-13T14:19:23+02:00 ( https://www.w3.org/TR/xmlschema-2/#dateTime))`, Date and time of drafting the accompanying document
**ram:FormattedIssueDateTime**,,,Date and time of drafting the document (the end of the block)
**ram:AssociatedReferencedDocument**,,, Other accompanying documents (the end of the block)
**ram:DeliveryTransportEvent**,M,, Unloading works (block start)
ram:ID,M,string, Sequence number of the event (events are always numbered in ascending order according to the N+1 principle)
ram:Description,O,string,Description
**ram:ActualOccurrenceDateTime**,O,, Date and time of arrival of the car for unloading (block start)
udt:DateTime,O,:abbr:`datetime ((yyyy-mm-ddThh:mm:ss+zz:zz) like 2021-12-13T14:19:23+02:00 ( https://www.w3.org/TR/xmlschema-2/#dateTime))`, Date and time
**ram:ActualOccurrenceDateTime**,,, Date and time of arrival of the car for unloading (the end of the block)
**ram:ScheduledOccurrenceDateTime**,O,, Date and time of vehicle release from unloading (block start)
udt:DateTime,O,:abbr:`datetime ((yyyy-mm-ddThh:mm:ss+zz:zz) like 2021-12-13T14:19:23+02:00 ( https://www.w3.org/TR/xmlschema-2/#dateTime))`, Date and time
**ram:ScheduledOccurrenceDateTime**,,, Date and time of vehicle release from unloading (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=CN),M,,Information on responsible persons of the Consignee (block start)
ram:Name,M,string, The position of materially responsible person of the consignee
ram:RoleCode,M,string,Participant role (Consignee - CN). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (block start)
ram:PersonName,M,string, Full name of the materially responsible person of the consignee
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:ID**,O,, Identification code - RNTAC of the materially responsible person of the consignee (block start)
schemeAgencyID,M,string,RNTAC
value,M,decimal,Value
**ram:ID**,,, Identification code - RNTAC of the materially responsible person of the consignee (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=CN),,, Information about the responsible persons of the Consignee (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=DR),M,, Information about the driver of the Carrier (block start)
ram:Name,M,string, The position of the driver who handed over the cargo
ram:RoleCode,M,string,Participant role (Driver - DR). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (block start)
ram:PersonName,M,string, Name of the driver who delivered the cargo
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:ID**,O,, Identification code - RNTAC of the driver (block start)
schemeAgencyID,O,string,RNTAC
value,O,decimal,Value
**ram:ID**,,, Identification code - RNTAC of the driver (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=DR),,, Information about the driver of the Carrier (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=CA),O,, Information about responsible persons of the Carrier (block start)
ram:Name,M,string, Position of responsible person of the Carrier
ram:RoleCode,M,string,Participant role (Carrier - CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (block start)
ram:PersonName,M,string, Full name of the responsible person of the Carrier
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:ID**,O,, Identification code - RNTAC of the responsible person of the Carrier (block start)
schemeAgencyID,O,string,RNTAC
value,O,decimal,Value
