Field name,Type [1]_,Format,Description
LICENSE,M,"String (9) - 3 letters, 6 numbers","Series, driver's license number"
**DRIVER**,,, Data Driver (the end of the block)
**POSITION**,M,, Information about the route and cargo (block start)
POSITIONNUMBER,M,A positive integer,Position number
**LOAD**,M,, Load point (block start)
**ADDRESS**,M,, Address of the loading point (block start)
GLN,M,Numeric (13), GLN of the load point
ID,M,String (19), Code CATUTTC
NAME,M,String, Load settlement
ADDRESS,M,String, Address of the loading point
**ADDRESS**,,, Address of the loading point  (the end of the block)
DATE,M,YYYY-MM-DD HH:MM, Date-time of loading
CONSIGNORCONTACTFACENAME,O,String, Name of the responsible person of the Consignor
CONSIGNORCONTACTFACENUMBER,O,String, Mob. phone number of the responsible person of the Consignor
**LOAD**,,, Load point (the end of the block)
**UNLOAD**,M,, Unloading point (block start)
**ADDRESS**,M,, Address of the unloading point (block start)
GLN,M,Numeric (13), GLN of the unloading point
ID,M,String (19), Code CATUTTC
NAME,M,String, Unloading settlement
ADDRESS,M,String,Address of the unloading point
**ADDRESS**,,,Address of the unloading point (the end of the block)
DATE,O,YYYY-MM-DD HH:MM, Date-time of unloading
**CONSIGNEE**,M,, Consignee data (block start)
GLN,M,Numeric (13), Consignee GLN
ID,M,"* A positive integer (8) - USREOU
* A positive integer (10) - TIN
* String (8) - series, passport number
* A positive integer (9) - ID card","USREOU / TIN / ID card / series, passport number of the Consignee"
NAME,M,String, Company name of the Consignee
ADDRESS,M,String, Legal address of the Consignee
**CONSIGNEE**,,, Consignee data (the end of the block)
CONSIGNEECONTACTFACENAME,O,String, Name of the responsible person of the Consignee
CONSIGNEECONTACTFACENUMBER,O,String, Mob. phone number of the responsible person of the Consignee
**UNLOAD**,,, Unloading point (the end of the block)
PACKAGEWEIGHT,O,"A positive floating point number (10,3)","Gross weight, kg"
PACKAGEQUANTITY,O,"A positive floating point number (10,3)", Number of seats
TRANSPORTTYPE,O,String, Type of transport
**TEMPERATURE**,O,, Temperature (block start)
MIN,M,String, Minimum temperature
MAX,M,String, Maximum temperature
**TEMPERATURE**,,, Temperature (the end of the block)
INFO,O,String, Additional Information
**POSITION**,,,Information about the route and cargo (the end of the block)
**HEAD**,,, Completion of the main block
**TRANSPORTATIONORDER**,,, Completion of the document
