Field name,Type [1]_,Format,Description
CarrierNotes,O,string, Special notes / Information regarding disagreement with the contents of the Act (Carrier)
CustomerNotes,O,string, Special notes / Information regarding disagreement with the content of the Act (Customer)
**ConsigneeChangeActPayload**,,, Information about the Act (end of block)
**CertifyingPartyPayload**,M,, Information about responsible persons (beginning of the block)
**ram:CertifyingTradeParty** (RoleCode=CN),O,, Information on responsible persons of the Consignee (beginning of the block)
**ram:ID**,O,,Identification code - RNTAC of the responsible person of the Consignee (beginning of the block)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,, Identification code - RNTAC of the responsible person of the Consignee (end of block)
ram:Name,M,string, The position of the responsible person of the Consignee
ram:RoleCode,M,string,Participant role (Consignee - CN). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (beginning of the block)
ram:PersonName,M,string, Name of the responsible person of the Consignee
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (end of block)
**ram:CertifyingTradeParty** (RoleCode=CN),,, Information on responsible persons of the Consignee (end of block)
**ram:CertifyingTradeParty** (RoleCode=CA),M,, Information about the Carrier (beginning of the block)
**ram:ID**,O,,Identification code - RNTAC of the Carrier (beginning of the block)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,, Identification code - RNTAC of the Carrier (end of block)
ram:Name,M,string, Carrier position
ram:RoleCode,M,string,Participant role (Carrier - CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (beginning of the block)
ram:PersonName,M,string, Name of the Carrier
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (end of block)
**ram:CertifyingTradeParty** (RoleCode=CA),,, Information about the Carrier (end of block)
**ram:CertifyingTradeParty** (RoleCode=ОВ),M,, Information about the responsible persons of the Customer (beginning of the block)
**ram:ID**,O,, Identification code - RNTAC of the Customer (beginning of the block)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,, Identification code - RNTAC of the driver (end of block)
ram:Name,M,string, Position of the Customer
ram:RoleCode,M,string, Participant role (Customer — OB). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (beginning of the block)
ram:PersonName,M,string, Name of the Customer
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (end of block)
**ram:CertifyingTradeParty** (RoleCode=ОВ),,,Information about the responsible persons of the Customer (end of block)
**CertifyingPartyPayload**,,, Information about responsible persons (end of block)
**ACT**,,, (end of the document content)
**UaSignatureStorage**,M,, Signatures (beginning of block)
**VisualReferencedDocument**,O,, Graphic display of the document (beginning of the block)
ram:TypeCode,O,string, Type (916 - Act). `Document code directory <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__
ram:Remarks,O,string, Graphic representation of Act in base64
**VisualReferencedDocument**,,, Graphic display of the document (end of block)
**Signature** (SigningPartyRoleCode=CN),M,, Consignee QES (start of block)
SigningPartyRoleCode,M,string,Signatory role (Consignee - CN). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,M,string, Signature (base64 signature p7s)
Name,M,string, Name of the signatory (responsible person of the Consignee)
Position,O,string, Position of the signatory (responsible person of the Consignee)
**ram:SpecifiedTaxRegistration**,M,, Identification code of the responsible person of the Consignee (beginning of the block)
ram:ID,M,string, RNTAC of the signatory (responsible person of the Consignee)
**ram:SpecifiedTaxRegistration**,,, Identification code of the responsible person of the Consignee (end of block)
**Signature** (SigningPartyRoleCode=CN),,, Consignee QES (end of block)
**Signature** (SigningPartyRoleCode=CA),M,,Carrier QES (beginning of block)
SigningPartyRoleCode,M,string, Signatory role (Carrier - CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,M,string, Signature (base64 signature p7s)
Name,M,string, Name of signatory (Carrier)
Position,O,string, Position of signatory (Carrier)
**ram:SpecifiedTaxRegistration**,M,, Identification code of the Carrier (beginning of the block)
ram:ID,M,string, RNTAC of the signatory (Carrier)
**ram:SpecifiedTaxRegistration**,,, Identification code of the Carrier (end of block)
**Signature** (SigningPartyRoleCode=CA),,, Carrier QES (end of block)
**Signature** (SigningPartyRoleCode=OB),M,, QES of the Customer (beginning of the block)
SigningPartyRoleCode,M,string, Signatory role (Customer - OB). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,M,string, Signature (base64 signature p7s)
Name,M,string, Name of the signatory (Customer)
Position,O,string, Position of signatory (Customer)
**ram:SpecifiedTaxRegistration**,M,, Identification code of the Customer (beginning of the block)
ram:ID,M,string, RNTAC of the signatory (Customer)
**ram:SpecifiedTaxRegistration**,,, Customer identification code (end of block)
**Signature** (SigningPartyRoleCode=OB),,,QES of the Customer (end of block)
**UaSignatureStorage**,,,Signatures (end of block)
**UAECMR_ACT**,,, (end of the document)
