Field name,Type [1]_,Format,Description
**ram:AffixedLogisticsSeal**,O,, Seal number (car) (beginning of block)
ram:ID,O,string, An impression of the seal used to seal the car
**ram:AffixedLogisticsSeal**,,, Seal number (car) (end of block)
**ram:ApplicableNote** (з кодом BRAND),M,, Car brand (beginning of block)
ram:ContentCode,M,string, Code BRAND
ram:Content,M,string, Car brand according to the technical passport
**ram:ApplicableNote** (з кодом BRAND),,, Car brand (end of block)
**ram:ApplicableNote** (з кодом MODEL),M,,Car model (beginning of block)
ram:ContentCode,M,string, Code MODEL
ram:Content,M,string, Car model according to the technical passport
**ram:ApplicableNote** (з кодом MODEL),,, Car model (end of block)
**ConnectingCarrierUtilizedLogisticsTransportEquipment**,,, Loading car (end of block)
**ConnectingCarrierUtilizedLogisticsTransportEquipment** (CategoryCode=TE),O,,Loading trailer/semi-trailer (beginning of block)
ram:ID,M,string,"Registration number of the trailer/semi-trailer according to the technical passport

* Ukrainian plates: must correspond to one of the patterns for car license plates
* Euro plates: without validation"
ram:CategoryCode,M,string, Code TE - Trailer/semi-trailer
ram:CharacteristicCode,M,string,"Identification code Trailer/semi-trailer:

* 14 - Trailer
* 17 - Semi-trailer"
**ram:AffixedLogisticsSeal**,O,, Seal number (trailer/semi-trailer) (beginning of block)
ram:ID,O,string,The impression of the seal used to seal the trailer/semi-trailer
**ram:AffixedLogisticsSeal**,,, Seal number (trailer/semi-trailer) (end of block)
**ram:ApplicableNote** (з кодом BRAND),M,, Trailer/semi-trailer brand (beginning of block)
ram:ContentCode,M,string, Code BRAND
ram:Content,M,string, Make of trailer/semi-trailer according to technical data sheet
**ram:ApplicableNote** (з кодом BRAND),,, Trailer/semi-trailer brand (end of block)
**ram:ApplicableNote** (з кодом MODEL),M,, Trailer/semi-trailer model (beginning of block)
ram:ContentCode,M,string, Code MODEL
ram:Content,M,string, The model of the trailer/semi-trailer according to the data sheet
**ram:ApplicableNote** (з кодом MODEL),,, Trailer/semi-trailer model (end of block)
**ConnectingCarrierUtilizedLogisticsTransportEquipment** (CategoryCode=TE),,, Loading trailer/semi-trailer (end of block)
CarrierNotes,M,string, A brief or full description of the reasons for drafting the Act
ConnectingCarrierNotes,O,string, Special notes; Information on disagreement with the content of the Act
**ReloadActPayload**,,, Information about the Act (end of block)
**CertifyingPartyPayload**,M,, Information about responsible persons (beginning of block)
**ram:CertifyingTradeParty** (RoleCode=CA),M,, Information about the Driver of the Carrier delivering the cargo (beginning of block)
**ram:ID**,O,, Identification code - RNTAC of the Driver (beginning of block)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,, Identification code - RNTAC of the Driver (end of block)
ram:Name,M,string, Driver position
ram:RoleCode,M,string, Participant role (Carrier - CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (beginning of block)
ram:PersonName,M,string,Driver's full name
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (end of block)
**ram:SpecifiedGovernmentRegistration**,M,, Driver's license (beginning of block)
ram:ID,M,string,"Series and number of Driver's license Driver delivering the cargo. Filled in the format ""3 capital Cyrillic letters + 6 numbers without spaces"", for example: ``DGJ123456'', ``АБВ123456''"
**ram:SpecifiedGovernmentRegistration**,,, Driver's license (end of block)
**ram:CertifyingTradeParty** (RoleCode=CA),,, Information about the Driver of the Carrier delivering the cargo (end of block)
**ram:CertifyingTradeParty** (RoleCode=OV),O,, Information on the responsible persons of the Carrier delivering the cargo (beginning of block)
**ram:ID**,O,, Identification code - RNTAC of the responsible person of the Carrier (beginning of block)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,, Identification code - RNTAC of the responsible person of the Carrier (end of block)
ram:Name,M,string, Position of responsible person of the Carrier
ram:RoleCode,M,string,Participant role (Carrier - OV). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (beginning of block)
ram:PersonName,M,string, Full name of the responsible person of the Carrier
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (end of block)
**ram:CertifyingTradeParty** (RoleCode=OV),,, Information on the responsible persons of the Carrier delivering the cargo (end of block)
**ram:CertifyingTradeParty** (RoleCode=DR),M,, Information about the Driver of the Carrier receiving the cargo (beginning of block)
**ram:ID**,O,, Identification code - RNTAC of the Driver (beginning of block)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,, Identification code - RNTAC of the Driver (end of block)
ram:Name,M,string, Driver position
ram:RoleCode,M,string, Participant role (Driver - DR). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (beginning of block)
ram:PersonName,M,string,Driver's full name
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (end of block)
**ram:SpecifiedGovernmentRegistration**,M,, Driver's license (beginning of block)
ram:ID,M,string,"Driver's license series and number Driver accepting the load. Filled in the format ""3 capital Cyrillic letters + 6 numbers without spaces"", for example: ``DGJ123456'', ``АБВ123456''"
**ram:SpecifiedGovernmentRegistration**,,, Driver's license (end of block)
**ram:CertifyingTradeParty** (RoleCode=DR),,,Information about the Driver of the Carrier receiving the cargo (end of block)
**ram:CertifyingTradeParty** (RoleCode=CH),O,, Information on the responsible persons of the Carrier receiving the cargo (beginning of block)
**ram:ID**,O,, Identification code - RNTAC of the responsible person of the Carrier (beginning of block)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,, Identification code - RNTAC of the responsible person of the Carrier (end of block)
ram:Name,M,string, Position of responsible person of the Carrier
ram:RoleCode,M,string, Participant role (Carrier (new) - CH). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (beginning of block)
ram:PersonName,M,string, Full name of the responsible person of the Carrier
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (end of block)
**ram:CertifyingTradeParty** (RoleCode=CH),,, Information on the responsible persons of the Carrier receiving the cargo (end of block)
**CertifyingPartyPayload**,,, Information about responsible persons (end of block)
**ACT**,,, (end of document content)
**UaSignatureStorage**,M,, Signatures (beginning of block)
**VisualReferencedDocument**,O,, Graphic display of the document (beginning of block)
ram:TypeCode,O,string, Type (916 - Act). `Document code directory <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__
ram:Remarks,O,string, Graphic representation of Act in base64
**VisualReferencedDocument**,,,Graphic display of the document (end of block)
**Signature** (SigningPartyRoleCode=CA),M,, QES of the Driver of the Carrier delivering the cargo (beginning of block)
SigningPartyRoleCode,M,string, Signatory role (Carrier - CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,M,string, Signature (base64 signature p7s)
Name,M,string, Full name of the signatory (Driver of the Carrier)
Position,O,string, Position of the signatory (Driver of the Carrier)
**ram:SpecifiedTaxRegistration**,M,, Identification code of the Driver of the Carrier (beginning of block)
ram:ID,M,string, RNTAC of the signatory (Driver of the Carrier)
**ram:SpecifiedTaxRegistration**,,, Identification code of the Driver of the Carrier (end of block)
**Signature** (SigningPartyRoleCode=CA),,, QES of the Driver of the Carrier delivering the cargo (end of block)
**Signature** (SigningPartyRoleCode=OV),O,, QES of the Carrier delivering the cargo (beginning of block)
SigningPartyRoleCode,M,string,Signatory role (Carrier - OV). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,M,string, Signature (base64 signature p7s)
Name,M,string, Full name of the signatory (responsible person of the Carrier)
Position,O,string, Position of the signatory (responsible person of the Carrier)
**ram:SpecifiedTaxRegistration**,M,, Identification code of the responsible person of the Carrier (beginning of block)
ram:ID,M,string, RNTAC of the signatory (responsible person of the Carrier)
**ram:SpecifiedTaxRegistration**,,, Identification code of the responsible person of the Carrier (end of block)
**Signature** (SigningPartyRoleCode=OV),,, QES of the Carrier delivering the cargo (end of block)
**Signature** (SigningPartyRoleCode=DR),M,, QES of the Driver of the Carrier receiving the cargo (beginning of block)
SigningPartyRoleCode,M,string,Signatory role (Driver - DR). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,M,string, Signature (base64 signature p7s)
Name,M,string, Full name of the signatory (Driver of the Carrier)
Position,O,string, Position of the signatory (Driver of the Carrier)
**ram:SpecifiedTaxRegistration**,M,, Identification code of the Driver of the Carrier (beginning of block)
ram:ID,M,string, RNTAC of the signatory (Driver of the Carrier)
**ram:SpecifiedTaxRegistration**,,, Identification code of the Driver of the Carrier (end of block)
**Signature** (SigningPartyRoleCode=DR),,, QES of the Driver of the Carrier receiving the cargo (end of block)
**Signature** (SigningPartyRoleCode=CH),O,, QES of the Carrier receiving the cargo (beginning of block)
SigningPartyRoleCode,M,string, Signatory role (Carrier (new) - CH). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,M,string, Signature (base64 signature p7s)
Name,M,string, Full name of the signatory (responsible person of the Carrier)
Position,O,string, Position of the signatory (responsible person of the Carrier)
**ram:SpecifiedTaxRegistration**,M,, Identification code of the responsible person of the Carrier (beginning of block)
ram:ID,M,string, RNTAC of the signatory (responsible person of the Carrier)
**ram:SpecifiedTaxRegistration**,,, Identification code of the responsible person of the Carrier (end of block)
**Signature** (SigningPartyRoleCode=CH),,, QES of the Carrier receiving the cargo (end of block)
**UaSignatureStorage**,,, Signatures (end of block)
**UAECMR_ACT**,,, (end of the document)
