Field name,Type [1]_,Format,Description
**ApplicableTransportSettingTemperature**,O,, Temperature regime according to TTN (beginning of block)
**ram:MinimumValueMeasure**,O,, Temperature mode from (beginning of block)
unitCode,O,string, unit code (CEL)
value,O,decimal, Value
**ram:MinimumValueMeasure**,,, Temperature mode from (end of block)
**ram:MaximumValueMeasure**,O,,Temperature regime before (beginning of block)
unitCode,O,string, unit code (CEL)
value,O,decimal, Value
**ram:MaximumValueMeasure**,,, Temperature regime before (end of block)
**ApplicableTransportSettingTemperature**,,, Temperature regime according to TTN (end of block)
ApplicableTransportSettingTemperatureNotes,O,string, Information about non-compliance with the temperature regime
PackagingDamageDisagreementNotes,O,string,"Information on container damage (description of container damage, packaging, labeling, etc.)"
OtherDisagreementNotes,O,string, Information on other discrepancies (description of other discrepancies in cargo characteristics)
**QualityCharacteristicsDisagreement**,,, Disagreements regarding the quality characteristics of the cargo (end of block)
ConsigneeNotes,M,string,"Brief or full description of the reasons for drafting the act (for example, discrepancies were found regarding the qualitative and/or quantitative characteristics of the received cargo, etc.)"
ClaimNotes,M,string,"Conclusion (requirements for resolution of disagreements). Information is indicated on whether anyone should file a claim and, if so, to whom"
CarrierNotes,O,string, Special markings (Carrier). Information on disagreement with the content of the Act (Carrier)
**DisagreementActPayload**,,, Information about the Act (end of block)
**CertifyingPartyPayload**,M,, Information about responsible persons (beginning of block)
**ram:CertifyingTradeParty** (RoleCode=CN),O,, Information on responsible persons of the Consignee (beginning of block)
**ram:ID**,O,,Identification code - RNTAC of the responsible person of the Consignee (beginning of block)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,, Identification code - RNTAC of the responsible person of the Consignee (end of block)
ram:Name,M,string, The position of the responsible person of the Consignee
ram:RoleCode,M,string, Participant role (Consignee - CN). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (beginning of block)
ram:PersonName,M,string, Name of the responsible person of the Consignee
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (end of block)
**ram:CertifyingTradeParty** (RoleCode=CN),,, Information on responsible persons of the Consignee (end of block)
**ram:CertifyingTradeParty** (RoleCode=CA),M,, Information about the Carrier (beginning of block)
**ram:ID**,O,, Identification code - RNTAC of the Carrier (beginning of block)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,,Identification code - RNTAC of the Carrier (end of block)
ram:Name,M,string, Carrier position
ram:RoleCode,M,string, Participant role (Carrier - CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (beginning of block)
ram:PersonName,M,string, Name of the Carrier
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (end of block)
**ram:CertifyingTradeParty** (RoleCode=CA),,, Information about the Carrier (end of block)
**CertifyingPartyPayload**,,, Information about responsible persons (end of block)
**ACT**,,, (end of document content)
**UaSignatureStorage**,M,, Signatures (beginning of block)
**VisualReferencedDocument**,O,, Graphic display of the document (beginning of block)
ram:TypeCode,O,string, Type (916 - Act). `Document code directory <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit#gid=723047960>`__
ram:Remarks,O,string, Graphic representation of Act in base64
**VisualReferencedDocument**,,, Graphic display of the document (end of block)
**Signature** (SigningPartyRoleCode=CN),M,, Consignee QES (beginning of block)
SigningPartyRoleCode,M,string,Signatory role (Consignee - CN). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,M,string, Signature (base64 signature p7s)
Name,M,string, Name of the signatory (responsible person of the Consignee)
Position,O,string, Position of the signatory (responsible person of the Consignee)
**ram:SpecifiedTaxRegistration**,M,, Identification code of the responsible person of the Consignee (beginning of block)
ram:ID,M,string, RNTAC of the signatory (responsible person of the Consignee)
**ram:SpecifiedTaxRegistration**,,, Identification code of the responsible person of the Consignee (end of block)
**Signature** (SigningPartyRoleCode=CN),,, Consignee QES (end of block)
**Signature** (SigningPartyRoleCode=CA),M,, QES of the Carrier (beginning of block)
SigningPartyRoleCode,M,string,Signatory role (Carrier - CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,M,string, Signature (base64 signature p7s)
Name,M,string, Name of signatory (Carrier)
Position,O,string, Position of signatory (Carrier)
**ram:SpecifiedTaxRegistration**,M,, Identification code of the Carrier (beginning of block)
ram:ID,M,string, RNTAC of the signatory (Carrier)
**ram:SpecifiedTaxRegistration**,,, Identification code of the Carrier (end of block)
**Signature** (SigningPartyRoleCode=CA),,, QES of the Carrier (end of block)
**Signature** (SigningPartyRoleCode=CZ),M,,Consignor QES (beginning of block)
SigningPartyRoleCode,M,string, Signatory role (Consignor - CZ). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,M,string, Signature (base64 signature p7s)
Name,M,string, Name of the signatory (responsible person of the Consignor)
Position,O,string, Position of the signatory (responsible person of the Consignor)
**ram:SpecifiedTaxRegistration**,M,,Identification code of the responsible person of the Consignor (beginning of block)
ram:ID,M,string, RNTAC of the signatory (responsible person of the Consignor)
**ram:SpecifiedTaxRegistration**,,, Identification code of the responsible person of the Consignor (end of block)
**Signature** (SigningPartyRoleCode=CZ),,,Consignor QES (end of block)
**UaSignatureStorage**,,, Signatures (end of block)
**UAECMR_ACT**,,, (end of the document)
